team_id,fifa_code,qualified,qualifier_date,qualifier_source
1,T001,1,2025-11-01,current_list
2,T002,1,2025-11-01,current_list
3,T003,1,2025-11-01,current_list
4,T004,1,2025-11-01,current_list
5,T005,1,2025-11-01,current_list
6,T006,1,2025-11-01,current_list
7,T007,1,2025-11-01,current_list
8,T008,1,2025-11-01,current_list
9,T009,1,2025-11-01,current_list
10,T010,1,2025-11-01,current_list
11,T011,1,2025-11-01,current_list
12,T012,1,2025-11-01,current_list
13,T013,1,2025-11-01,current_list
14,T014,1,2025-11-01,current_list
15,T015,1,2025-11-01,current_list
16,T016,1,2025-11-01,current_list
17,T017,1,2025-11-01,current_list
18,T018,1,2025-11-01,current_list
19,T019,1,2025-11-01,current_list
20,T020,1,2025-11-01,current_list
21,T021,1,2025-11-01,current_list
22,T022,1,2025-11-01,current_list
23,T023,1,2025-11-01,current_list
24,T024,1,2025-11-01,current_list
25,T025,1,2025-11-01,current_list
26,T026,1,2025-11-01,current_list
27,T027,1,2025-11-01,current_list
28,T028,1,2025-11-01,current_list
29,T029,0,,
30,T030,0,,
31,T031,0,,
32,T032,0,,
33,T033,0,,
34,T034,0,,
35,T035,0,,
36,T036,0,,
37,T037,0,,
38,T038,0,,
39,T039,0,,
40,T040,0,,
41,T041,0,,
42,T042,0,,
43,T043,0,,
44,T044,0,,
45,T045,0,,
46,T046,0,,
47,T047,0,,
48,T048,0,,
49,T049,0,,
50,T050,0,,
51,T051,0,,
52,T052,0,,
53,T053,0,,
54,T054,0,,
55,T055,0,,
56,T056,0,,
57,T057,0,,
58,T058,0,,
59,T059,0,,
60,T060,0,,
61,T061,0,,
62,T062,0,,
63,T063,0,,
64,T064,0,,
65,T065,0,,
66,T066,0,,
67,T067,0,,
68,T068,0,,
69,T069,0,,
70,T070,0,,
71,T071,0,,
72,T072,0,,
73,T073,0,,
74,T074,0,,
75,T075,0,,
76,T076,0,,
77,T077,0,,
78,T078,0,,
79,T079,0,,
80,T080,0,,
81,T081,0,,
82,T082,0,,
83,T083,0,,
84,T084,0,,
85,T085,0,,
86,T086,0,,
87,T087,0,,
88,T088,0,,
89,T089,0,,
90,T090,0,,
91,T091,0,,
92,T092,0,,
93,T093,0,,
94,T094,0,,
95,T095,0,,
96,T096,0,,
97,T097,0,,
98,T098,0,,
99,T099,0,,
100,T100,0,,
101,T101,0,,
102,T102,0,,
103,T103,0,,
104,T104,0,,
105,T105,0,,
106,T106,0,,
107,T107,0,,
108,T108,0,,
109,T109,0,,
110,T110,0,,
111,T111,0,,
112,T112,0,,
113,T113,0,,
114,T114,0,,
115,T115,0,,
116,T116,0,,
117,T117,0,,
118,T118,0,,
119,T119,0,,
120,T120,0,,
121,T121,0,,
122,T122,0,,
123,T123,0,,
124,T124,0,,
125,T125,0,,
126,T126,0,,
127,T127,0,,
128,T128,0,,
129,T129,0,,
130,T130,0,,
131,T131,0,,
132,T132,0,,
133,T133,0,,
134,T134,0,,
135,T135,0,,
136,T136,0,,
137,T137,0,,
138,T138,0,,
139,T139,0,,
140,T140,0,,
141,T141,0,,
142,T142,0,,
143,T143,0,,
144,T144,0,,
145,T145,0,,
146,T146,0,,
147,T147,0,,
148,T148,0,,
149,T149,0,,
150,T150,0,,
151,T151,0,,
152,T152,0,,
153,T153,0,,
154,T154,0,,
155,T155,0,,
156,T156,0,,
157,T157,0,,
158,T158,0,,
159,T159,0,,
160,T160,0,,
161,T161,0,,
162,T162,0,,
163,T163,0,,
164,T164,0,,
165,T165,0,,
166,T166,0,,
167,T167,0,,
168,T168,0,,
169,T169,0,,
170,T170,0,,
171,T171,0,,
172,T172,0,,
173,T173,0,,
174,T174,0,,
175,T175,0,,
176,T176,0,,
177,T177,0,,
178,T178,0,,
179,T179,0,,
180,T180,0,,
181,T181,0,,
182,T182,0,,
183,T183,0,,
184,T184,0,,
185,T185,0,,
186,T186,0,,
187,T187,0,,
188,T188,0,,
189,T189,0,,
190,T190,0,,
191,T191,0,,
192,T192,0,,
193,T193,0,,
194,T194,0,,
195,T195,0,,
196,T196,0,,
197,T197,0,,
198,T198,0,,
199,T199,0,,
200,T200,0,,
201,T201,0,,
202,T202,0,,
203,T203,0,,
204,T204,0,,
205,T205,0,,
206,T206,0,,
207,T207,0,,
208,T208,0,,
209,T209,0,,
210,T210,0,,
211,T211,0,,
