team_id,team_name,fifa_code,country,confederation,fifa_ranking,ranking_date
1,Country_001,T001,Country_001,AFC,1,2025-11-01
2,Country_002,T002,Country_002,AFC,2,2025-11-01
3,Country_003,T003,Country_003,CAF,3,2025-11-01
4,Country_004,T004,Country_004,UEFA,4,2025-11-01
5,Country_005,T005,Country_005,UEFA,5,2025-11-01
6,Country_006,T006,Country_006,CONMEBOL,6,2025-11-01
7,Country_007,T007,Country_007,UEFA,7,2025-11-01
8,Country_008,T008,Country_008,UEFA,8,2025-11-01
9,Country_009,T009,Country_009,UEFA,9,2025-11-01
10,Country_010,T010,Country_010,CAF,10,2025-11-01
11,Country_011,T011,Country_011,AFC,11,2025-11-01
12,Country_012,T012,Country_012,UEFA,12,2025-11-01
13,Country_013,T013,Country_013,CONCACAF,13,2025-11-01
14,Country_014,T014,Country_014,CONCACAF,14,2025-11-01
15,Country_015,T015,Country_015,CAF,15,2025-11-01
16,Country_016,T016,Country_016,CONMEBOL,16,2025-11-01
17,Country_017,T017,Country_017,AFC,17,2025-11-01
18,Country_018,T018,Country_018,UEFA,18,2025-11-01
19,Country_019,T019,Country_019,OFC,19,2025-11-01
20,Country_020,T020,Country_020,OFC,20,2025-11-01
21,Country_021,T021,Country_021,UEFA,21,2025-11-01
22,Country_022,T022,Country_022,CONCACAF,22,2025-11-01
23,Country_023,T023,Country_023,AFC,23,2025-11-01
24,Country_024,T024,Country_024,UEFA,24,2025-11-01
25,Country_025,T025,Country_025,UEFA,25,2025-11-01
26,Country_026,T026,Country_026,UEFA,26,2025-11-01
27,Country_027,T027,Country_027,AFC,27,2025-11-01
28,Country_028,T028,Country_028,UEFA,28,2025-11-01
29,Country_029,T029,Country_029,UEFA,29,2025-11-01
30,Country_030,T030,Country_030,AFC,30,2025-11-01
31,Country_031,T031,Country_031,CAF,31,2025-11-01
32,Country_032,T032,Country_032,CAF,32,2025-11-01
33,Country_033,T033,Country_033,CAF,33,2025-11-01
34,Country_034,T034,Country_034,CAF,34,2025-11-01
35,Country_035,T035,Country_035,UEFA,35,2025-11-01
36,Country_036,T036,Country_036,CAF,36,2025-11-01
37,Country_037,T037,Country_037,CONMEBOL,37,2025-11-01
38,Country_038,T038,Country_038,CONMEBOL,38,2025-11-01
39,Country_039,T039,Country_039,AFC,39,2025-11-01
40,Country_040,T040,Country_040,UEFA,40,2025-11-01
41,Country_041,T041,Country_041,CONCACAF,41,2025-11-01
42,Country_042,T042,Country_042,UEFA,42,2025-11-01
43,Country_043,T043,Country_043,UEFA,43,2025-11-01
44,Country_044,T044,Country_044,AFC,44,2025-11-01
45,Country_045,T045,Country_045,UEFA,45,2025-11-01
46,Country_046,T046,Country_046,CONMEBOL,46,2025-11-01
47,Country_047,T047,Country_047,UEFA,47,2025-11-01
48,Country_048,T048,Country_048,UEFA,48,2025-11-01
49,Country_049,T049,Country_049,CONMEBOL,49,2025-11-01
50,Country_050,T050,Country_050,CONMEBOL,50,2025-11-01
51,Country_051,T051,Country_051,CAF,51,2025-11-01
52,Country_052,T052,Country_052,OFC,52,2025-11-01
53,Country_053,T053,Country_053,CAF,53,2025-11-01
54,Country_054,T054,Country_054,CONCACAF,54,2025-11-01
55,Country_055,T055,Country_055,AFC,55,2025-11-01
56,Country_056,T056,Country_056,UEFA,56,2025-11-01
57,Country_057,T057,Country_057,CAF,57,2025-11-01
58,Country_058,T058,Country_058,AFC,58,2025-11-01
59,Country_059,T059,Country_059,AFC,59,2025-11-01
60,Country_060,T060,Country_060,UEFA,60,2025-11-01
61,Country_061,T061,Country_061,UEFA,61,2025-11-01
62,Country_062,T062,Country_062,OFC,62,2025-11-01
63,Country_063,T063,Country_063,AFC,63,2025-11-01
64,Country_064,T064,Country_064,CAF,64,2025-11-01
65,Country_065,T065,Country_065,AFC,65,2025-11-01
66,Country_066,T066,Country_066,UEFA,66,2025-11-01
67,Country_067,T067,Country_067,CONCACAF,67,2025-11-01
68,Country_068,T068,Country_068,AFC,68,2025-11-01
69,Country_069,T069,Country_069,AFC,69,2025-11-01
70,Country_070,T070,Country_070,UEFA,70,2025-11-01
71,Country_071,T071,Country_071,AFC,71,2025-11-01
72,Country_072,T072,Country_072,CONMEBOL,72,2025-11-01
73,Country_073,T073,Country_073,UEFA,73,2025-11-01
74,Country_074,T074,Country_074,UEFA,74,2025-11-01
75,Country_075,T075,Country_075,UEFA,75,2025-11-01
76,Country_076,T076,Country_076,UEFA,76,2025-11-01
77,Country_077,T077,Country_077,AFC,77,2025-11-01
78,Country_078,T078,Country_078,CAF,78,2025-11-01
79,Country_079,T079,Country_079,CAF,79,2025-11-01
80,Country_080,T080,Country_080,CAF,80,2025-11-01
81,Country_081,T081,Country_081,UEFA,81,2025-11-01
82,Country_082,T082,Country_082,UEFA,82,2025-11-01
83,Country_083,T083,Country_083,AFC,83,2025-11-01
84,Country_084,T084,Country_084,UEFA,84,2025-11-01
85,Country_085,T085,Country_085,CONMEBOL,85,2025-11-01
86,Country_086,T086,Country_086,UEFA,86,2025-11-01
87,Country_087,T087,Country_087,CONMEBOL,87,2025-11-01
88,Country_088,T088,Country_088,CAF,88,2025-11-01
89,Country_089,T089,Country_089,CAF,89,2025-11-01
90,Country_090,T090,Country_090,UEFA,90,2025-11-01
91,Country_091,T091,Country_091,CONCACAF,91,2025-11-01
92,Country_092,T092,Country_092,UEFA,92,2025-11-01
93,Country_093,T093,Country_093,UEFA,93,2025-11-01
94,Country_094,T094,Country_094,UEFA,94,2025-11-01
95,Country_095,T095,Country_095,CONCACAF,95,2025-11-01
96,Country_096,T096,Country_096,AFC,96,2025-11-01
97,Country_097,T097,Country_097,CONMEBOL,97,2025-11-01
98,Country_098,T098,Country_098,CONCACAF,98,2025-11-01
99,Country_099,T099,Country_099,CAF,99,2025-11-01
100,Country_100,T100,Country_100,CONMEBOL,100,2025-11-01
101,Country_101,T101,Country_101,AFC,101,2025-11-01
102,Country_102,T102,Country_102,UEFA,102,2025-11-01
103,Country_103,T103,Country_103,UEFA,103,2025-11-01
104,Country_104,T104,Country_104,CONMEBOL,104,2025-11-01
105,Country_105,T105,Country_105,UEFA,105,2025-11-01
106,Country_106,T106,Country_106,UEFA,106,2025-11-01
107,Country_107,T107,Country_107,AFC,107,2025-11-01
108,Country_108,T108,Country_108,UEFA,108,2025-11-01
109,Country_109,T109,Country_109,UEFA,109,2025-11-01
110,Country_110,T110,Country_110,CONMEBOL,110,2025-11-01
111,Country_111,T111,Country_111,CONCACAF,111,2025-11-01
112,Country_112,T112,Country_112,UEFA,112,2025-11-01
113,Country_113,T113,Country_113,UEFA,113,2025-11-01
114,Country_114,T114,Country_114,UEFA,114,2025-11-01
115,Country_115,T115,Country_115,CONCACAF,115,2025-11-01
116,Country_116,T116,Country_116,CAF,116,2025-11-01
117,Country_117,T117,Country_117,UEFA,117,2025-11-01
118,Country_118,T118,Country_118,CONMEBOL,118,2025-11-01
119,Country_119,T119,Country_119,CAF,119,2025-11-01
120,Country_120,T120,Country_120,CAF,120,2025-11-01
121,Country_121,T121,Country_121,CONCACAF,121,2025-11-01
122,Country_122,T122,Country_122,UEFA,122,2025-11-01
123,Country_123,T123,Country_123,CONMEBOL,123,2025-11-01
124,Country_124,T124,Country_124,UEFA,124,2025-11-01
125,Country_125,T125,Country_125,CONMEBOL,125,2025-11-01
126,Country_126,T126,Country_126,UEFA,126,2025-11-01
127,Country_127,T127,Country_127,CONCACAF,127,2025-11-01
128,Country_128,T128,Country_128,UEFA,128,2025-11-01
129,Country_129,T129,Country_129,UEFA,129,2025-11-01
130,Country_130,T130,Country_130,AFC,130,2025-11-01
131,Country_131,T131,Country_131,UEFA,131,2025-11-01
132,Country_132,T132,Country_132,CAF,132,2025-11-01
133,Country_133,T133,Country_133,CAF,133,2025-11-01
134,Country_134,T134,Country_134,AFC,134,2025-11-01
135,Country_135,T135,Country_135,AFC,135,2025-11-01
136,Country_136,T136,Country_136,CONCACAF,136,2025-11-01
137,Country_137,T137,Country_137,UEFA,137,2025-11-01
138,Country_138,T138,Country_138,UEFA,138,2025-11-01
139,Country_139,T139,Country_139,CONCACAF,139,2025-11-01
140,Country_140,T140,Country_140,CAF,140,2025-11-01
141,Country_141,T141,Country_141,CAF,141,2025-11-01
142,Country_142,T142,Country_142,UEFA,142,2025-11-01
143,Country_143,T143,Country_143,CONMEBOL,143,2025-11-01
144,Country_144,T144,Country_144,CONMEBOL,144,2025-11-01
145,Country_145,T145,Country_145,AFC,145,2025-11-01
146,Country_146,T146,Country_146,UEFA,146,2025-11-01
147,Country_147,T147,Country_147,CONMEBOL,147,2025-11-01
148,Country_148,T148,Country_148,UEFA,148,2025-11-01
149,Country_149,T149,Country_149,AFC,149,2025-11-01
150,Country_150,T150,Country_150,CONCACAF,150,2025-11-01
151,Country_151,T151,Country_151,UEFA,151,2025-11-01
152,Country_152,T152,Country_152,AFC,152,2025-11-01
153,Country_153,T153,Country_153,UEFA,153,2025-11-01
154,Country_154,T154,Country_154,CONMEBOL,154,2025-11-01
155,Country_155,T155,Country_155,CONMEBOL,155,2025-11-01
156,Country_156,T156,Country_156,UEFA,156,2025-11-01
157,Country_157,T157,Country_157,AFC,157,2025-11-01
158,Country_158,T158,Country_158,CAF,158,2025-11-01
159,Country_159,T159,Country_159,AFC,159,2025-11-01
160,Country_160,T160,Country_160,UEFA,160,2025-11-01
161,Country_161,T161,Country_161,AFC,161,2025-11-01
162,Country_162,T162,Country_162,UEFA,162,2025-11-01
163,Country_163,T163,Country_163,AFC,163,2025-11-01
164,Country_164,T164,Country_164,CAF,164,2025-11-01
165,Country_165,T165,Country_165,CAF,165,2025-11-01
166,Country_166,T166,Country_166,AFC,166,2025-11-01
167,Country_167,T167,Country_167,UEFA,167,2025-11-01
168,Country_168,T168,Country_168,UEFA,168,2025-11-01
169,Country_169,T169,Country_169,OFC,169,2025-11-01
170,Country_170,T170,Country_170,UEFA,170,2025-11-01
171,Country_171,T171,Country_171,CONCACAF,171,2025-11-01
172,Country_172,T172,Country_172,UEFA,172,2025-11-01
173,Country_173,T173,Country_173,CAF,173,2025-11-01
174,Country_174,T174,Country_174,CONMEBOL,174,2025-11-01
175,Country_175,T175,Country_175,UEFA,175,2025-11-01
176,Country_176,T176,Country_176,CAF,176,2025-11-01
177,Country_177,T177,Country_177,AFC,177,2025-11-01
178,Country_178,T178,Country_178,CAF,178,2025-11-01
179,Country_179,T179,Country_179,UEFA,179,2025-11-01
180,Country_180,T180,Country_180,UEFA,180,2025-11-01
181,Country_181,T181,Country_181,AFC,181,2025-11-01
182,Country_182,T182,Country_182,CAF,182,2025-11-01
183,Country_183,T183,Country_183,AFC,183,2025-11-01
184,Country_184,T184,Country_184,AFC,184,2025-11-01
185,Country_185,T185,Country_185,AFC,185,2025-11-01
186,Country_186,T186,Country_186,UEFA,186,2025-11-01
187,Country_187,T187,Country_187,UEFA,187,2025-11-01
188,Country_188,T188,Country_188,CONCACAF,188,2025-11-01
189,Country_189,T189,Country_189,UEFA,189,2025-11-01
190,Country_190,T190,Country_190,UEFA,190,2025-11-01
191,Country_191,T191,Country_191,OFC,191,2025-11-01
192,Country_192,T192,Country_192,AFC,192,2025-11-01
193,Country_193,T193,Country_193,UEFA,193,2025-11-01
194,Country_194,T194,Country_194,CONCACAF,194,2025-11-01
195,Country_195,T195,Country_195,AFC,195,2025-11-01
196,Country_196,T196,Country_196,UEFA,196,2025-11-01
197,Country_197,T197,Country_197,UEFA,197,2025-11-01
198,Country_198,T198,Country_198,CAF,198,2025-11-01
199,Country_199,T199,Country_199,CONCACAF,199,2025-11-01
200,Country_200,T200,Country_200,UEFA,200,2025-11-01
201,Country_201,T201,Country_201,AFC,201,2025-11-01
202,Country_202,T202,Country_202,UEFA,202,2025-11-01
203,Country_203,T203,Country_203,UEFA,203,2025-11-01
204,Country_204,T204,Country_204,CAF,204,2025-11-01
205,Country_205,T205,Country_205,AFC,205,2025-11-01
206,Country_206,T206,Country_206,UEFA,206,2025-11-01
207,Country_207,T207,Country_207,CONCACAF,207,2025-11-01
208,Country_208,T208,Country_208,CAF,208,2025-11-01
209,Country_209,T209,Country_209,CONMEBOL,209,2025-11-01
210,Country_210,T210,Country_210,CONCACAF,210,2025-11-01
211,Country_211,T211,Country_211,UEFA,211,2025-11-01
